name,latitude,longitude,description,address,phone,url,Medical marijuana available beginning:,Open on:,Product available as of 10/28/2025:,Address,City,State,Zip Code,Phone number,Website
RISE - Erie,,,Medical marijuana available beginning:: 4/18/18 Open on:: 4/18/18 Product available as of 10/28/2025:: Yes Address: 2108 W. 8th Street City: Erie State: Pennsylvania Zip Code: 16505 Phone number: 814-277-2835 Website: https://www.risedispensaries.com/,"Medical marijuana available beginning:: 4/18/18, Open on:: 4/18/18, Product available as of 10/28/2025:: Yes, Address: 2108 W. 8th Street, City: Erie, State: Pennsylvania, Zip Code: 16505, Phone number: 814-277-2835, Website: https://www.risedispensaries.com/",814-277-2835,https://www.risedispensaries.com/,4/18/18,4/18/18,Yes,2108 W. 8th Street,Erie,Pennsylvania,16505,814-277-2835,https://www.risedispensaries.com/
Trulieve - King of Prussia,,,Medical marijuana available beginning:: 5/2/18 Open on:: 5/2/18 Product available as of 10/28/2025:: Yes Address: 102 Hansen Access Road City: King of Prussia State: Pennsylvania Zip Code: 19406 Phone number: 484-581-7189 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 5/2/18, Open on:: 5/2/18, Product available as of 10/28/2025:: Yes, Address: 102 Hansen Access Road, City: King of Prussia, State: Pennsylvania, Zip Code: 19406, Phone number: 484-581-7189, Website: https://www.trulieve.com/",484-581-7189,https://www.trulieve.com/,5/2/18,5/2/18,Yes,102 Hansen Access Road,King of Prussia,Pennsylvania,19406,484-581-7189,https://www.trulieve.com/
RISE - Steelton,,,Medical marijuana available beginning:: 5/3/18 Open on:: 5/3/18 Product available as of 10/28/2025:: Yes Address: 801 South Front Street City: Steelton State: Pennsylvania Zip Code: 17113 Phone number: 717-279-5818 Website: https://www.risedispensaries.com/dispensaries-locations/steelton,"Medical marijuana available beginning:: 5/3/18, Open on:: 5/3/18, Product available as of 10/28/2025:: Yes, Address: 801 South Front Street, City: Steelton, State: Pennsylvania, Zip Code: 17113, Phone number: 717-279-5818, Website: https://www.risedispensaries.com/dispensaries-locations/steelton",717-279-5818,https://www.risedispensaries.com/dispensaries-locations/steelton,5/3/18,5/3/18,Yes,801 South Front Street,Steelton,Pennsylvania,17113,717-279-5818,https://www.risedispensaries.com/dispensaries-locations/steelton
Apothecarium Dispensary - Plymouth Meeting,,,Medical marijuana available beginning:: 5/4/18 Open on:: 5/4/18 Product available as of 10/28/2025:: Yes Address: 420 Plymouth Road City: Plymouth Meeting State: Pennsylvania Zip Code: 19462 Phone number: 814-934-5567 Website: http://www.ilerahealthcare.com/#medicine_from_marijuana,"Medical marijuana available beginning:: 5/4/18, Open on:: 5/4/18, Product available as of 10/28/2025:: Yes, Address: 420 Plymouth Road, City: Plymouth Meeting, State: Pennsylvania, Zip Code: 19462, Phone number: 814-934-5567, Website: http://www.ilerahealthcare.com/#medicine_from_marijuana",814-934-5567,http://www.ilerahealthcare.com/#medicine_from_marijuana,5/4/18,5/4/18,Yes,420 Plymouth Road,Plymouth Meeting,Pennsylvania,19462,814-934-5567,http://www.ilerahealthcare.com/#medicine_from_marijuana
Beyond Hello - Bristol,,,Medical marijuana available beginning:: 5/11/18 Open on:: 5/11/18 Product available as of 10/28/2025:: Yes Address: 2412-2414 Durham Road City: Bristol State: Pennsylvania Zip Code: 19007 Phone number: 267-580-5801 Website: https://www.beyond-hello.com/,"Medical marijuana available beginning:: 5/11/18, Open on:: 5/11/18, Product available as of 10/28/2025:: Yes, Address: 2412-2414 Durham Road, City: Bristol, State: Pennsylvania, Zip Code: 19007, Phone number: 267-580-5801, Website: https://www.beyond-hello.com/",267-580-5801,https://www.beyond-hello.com/,5/11/18,5/11/18,Yes,2412-2414 Durham Road,Bristol,Pennsylvania,19007,267-580-5801,https://www.beyond-hello.com/
Zen Leaf - Malvern,,,Medical marijuana available beginning:: 5/23/18 Open on:: 5/23/18 Product available as of 10/28/2025:: Yes Address: 249 Planebrook Road City: Malvern State: Pennsylvania Zip Code: 19355 Phone number: 484-328-3442 Website: https://zenleafdispensaries.com/,"Medical marijuana available beginning:: 5/23/18, Open on:: 5/23/18, Product available as of 10/28/2025:: Yes, Address: 249 Planebrook Road, City: Malvern, State: Pennsylvania, Zip Code: 19355, Phone number: 484-328-3442, Website: https://zenleafdispensaries.com/",484-328-3442,https://zenleafdispensaries.com/,5/23/18,5/23/18,Yes,249 Planebrook Road,Malvern,Pennsylvania,19355,484-328-3442,https://zenleafdispensaries.com/
Restore Integrative Wellness Center - Philadelphia,,,Medical marijuana available beginning:: 5/30/18 Open on:: 5/30/18 Product available as of 10/28/2025:: Yes Address: 957-963 Frankford Avenue City: Philadelphia State: Pennsylvania Zip Code: 19125 Phone number: 215-999-2980 Website: https://restoreiwc.com/,"Medical marijuana available beginning:: 5/30/18, Open on:: 5/30/18, Product available as of 10/28/2025:: Yes, Address: 957-963 Frankford Avenue, City: Philadelphia, State: Pennsylvania, Zip Code: 19125, Phone number: 215-999-2980, Website: https://restoreiwc.com/",215-999-2980,https://restoreiwc.com/,5/30/18,5/30/18,Yes,957-963 Frankford Avenue,Philadelphia,Pennsylvania,19125,215-999-2980,https://restoreiwc.com/
Fluent Care - Hanover,,,Medical marijuana available beginning:: 6/5/18 Open on:: 6/5/18 Product available as of 10/28/2025:: Yes Address: 648 Frederick Street City: Hanover State: Pennsylvania Zip Code: 17331 Phone number: 888-441-5669 Website: www.Knoxmedical.com,"Medical marijuana available beginning:: 6/5/18, Open on:: 6/5/18, Product available as of 10/28/2025:: Yes, Address: 648 Frederick Street, City: Hanover, State: Pennsylvania, Zip Code: 17331, Phone number: 888-441-5669, Website: www.Knoxmedical.com",888-441-5669,,6/5/18,6/5/18,Yes,648 Frederick Street,Hanover,Pennsylvania,17331,888-441-5669,www.Knoxmedical.com
Ethos - Allentown,,,Medical marijuana available beginning:: 6/7/18 Open on:: 6/12/18 Product available as of 10/28/2025:: Yes Address: 2733 W. Emmaus Avenue City: Allentown State: Pennsylvania Zip Code: 18103 Phone number: 833-768-4357 Website: https://ethoscannabis.com/,"Medical marijuana available beginning:: 6/7/18, Open on:: 6/12/18, Product available as of 10/28/2025:: Yes, Address: 2733 W. Emmaus Avenue, City: Allentown, State: Pennsylvania, Zip Code: 18103, Phone number: 833-768-4357, Website: https://ethoscannabis.com/",833-768-4357,https://ethoscannabis.com/,6/7/18,6/12/18,Yes,2733 W. Emmaus Avenue,Allentown,Pennsylvania,18103,833-768-4357,https://ethoscannabis.com/
Sunnyside - Allegheny County,,,Medical marijuana available beginning:: 6/26/18 Open on:: 6/26/18 Product available as of 10/28/2025:: Yes Address: 2116 Penn Avenue City: Pittsburgh State: Pennsylvania Zip Code: 15222 Phone number: 724-276-0069 Website: http://www.cydispensary.com/,"Medical marijuana available beginning:: 6/26/18, Open on:: 6/26/18, Product available as of 10/28/2025:: Yes, Address: 2116 Penn Avenue, City: Pittsburgh, State: Pennsylvania, Zip Code: 15222, Phone number: 724-276-0069, Website: http://www.cydispensary.com/",724-276-0069,http://www.cydispensary.com/,6/26/18,6/26/18,Yes,2116 Penn Avenue,Pittsburgh,Pennsylvania,15222,724-276-0069,http://www.cydispensary.com/
Zen Leaf - Washington,,,Medical marijuana available beginning:: 6/28/18 Open on:: 6/28/18 Product available as of 10/28/2025:: Yes Address: 799 West Chestnut Street City: Washington State: Pennsylvania Zip Code: 15301 Phone number: 724-914-4944 Website: https://zenleafdispensaries.com/,"Medical marijuana available beginning:: 6/28/18, Open on:: 6/28/18, Product available as of 10/28/2025:: Yes, Address: 799 West Chestnut Street, City: Washington, State: Pennsylvania, Zip Code: 15301, Phone number: 724-914-4944, Website: https://zenleafdispensaries.com/",724-914-4944,https://zenleafdispensaries.com/,6/28/18,6/28/18,Yes,799 West Chestnut Street,Washington,Pennsylvania,15301,724-914-4944,https://zenleafdispensaries.com/
Hive - Williamsport,,,Medical marijuana available beginning:: 7/6/18 Open on:: 7/6/18 Product available as of 10/28/2025:: Yes Address: 1490 High Street City: Williamsport State: Pennsylvania Zip Code: 17701 Phone number: 570-218-4402 Website: www.hivedispensary.com,"Medical marijuana available beginning:: 7/6/18, Open on:: 7/6/18, Product available as of 10/28/2025:: Yes, Address: 1490 High Street, City: Williamsport, State: Pennsylvania, Zip Code: 17701, Phone number: 570-218-4402, Website: www.hivedispensary.com",570-218-4402,,7/6/18,7/6/18,Yes,1490 High Street,Williamsport,Pennsylvania,17701,570-218-4402,www.hivedispensary.com
Liberty - Norristown,,,Medical marijuana available beginning:: 7/9/18 Open on:: 7/9/18 Product available as of 10/28/2025:: Yes Address: 2030 West Main Street City: Norristown State: Pennsylvania Zip Code: 19403 Phone number: 484-612-4520 Website: https://libertycannabis.com/,"Medical marijuana available beginning:: 7/9/18, Open on:: 7/9/18, Product available as of 10/28/2025:: Yes, Address: 2030 West Main Street, City: Norristown, State: Pennsylvania, Zip Code: 19403, Phone number: 484-612-4520, Website: https://libertycannabis.com/",484-612-4520,https://libertycannabis.com/,7/9/18,7/9/18,Yes,2030 West Main Street,Norristown,Pennsylvania,19403,484-612-4520,https://libertycannabis.com/
Liberty - Philadelphia,,,Medical marijuana available beginning:: 7/16/18 Open on:: 7/16/18 Product available as of 10/28/2025:: Yes Address: 8900 Krewstown Road City: Philadelphia State: Pennsylvania Zip Code: 19115 Phone number: 267-686-2824 Website: https://libertycannabis.com/,"Medical marijuana available beginning:: 7/16/18, Open on:: 7/16/18, Product available as of 10/28/2025:: Yes, Address: 8900 Krewstown Road, City: Philadelphia, State: Pennsylvania, Zip Code: 19115, Phone number: 267-686-2824, Website: https://libertycannabis.com/",267-686-2824,https://libertycannabis.com/,7/16/18,7/16/18,Yes,8900 Krewstown Road,Philadelphia,Pennsylvania,19115,267-686-2824,https://libertycannabis.com/
Curaleaf – Gettysburg,,,Medical marijuana available beginning:: 8/7/18 Open on:: 8/7/18 Product available as of 10/28/2025:: Yes Address: 19 Baltimore Street City: Gettysburg State: Pennsylvania Zip Code: 17325 Phone number: 717-398-0540 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 8/7/18, Open on:: 8/7/18, Product available as of 10/28/2025:: Yes, Address: 19 Baltimore Street, City: Gettysburg, State: Pennsylvania, Zip Code: 17325, Phone number: 717-398-0540, Website: https://curaleaf.com/",717-398-0540,https://curaleaf.com/,8/7/18,8/7/18,Yes,19 Baltimore Street,Gettysburg,Pennsylvania,17325,717-398-0540,https://curaleaf.com/
Maitri Medicinals - Uniontown,,,Medical marijuana available beginning:: 9/4/18 Open on:: 9/4/18 Product available as of 10/28/2025:: Yes Address: 27-31 West Main Street City: Uniontown State: Pennsylvania Zip Code: 15401 Phone number: 724-550-4565 Website: https://www.maitrimedicinals.com/,"Medical marijuana available beginning:: 9/4/18, Open on:: 9/4/18, Product available as of 10/28/2025:: Yes, Address: 27-31 West Main Street, City: Uniontown, State: Pennsylvania, Zip Code: 15401, Phone number: 724-550-4565, Website: https://www.maitrimedicinals.com/",724-550-4565,https://www.maitrimedicinals.com/,9/4/18,9/4/18,Yes,27-31 West Main Street,Uniontown,Pennsylvania,15401,724-550-4565,https://www.maitrimedicinals.com/
Zen Leaf - Monroeville,,,Medical marijuana available beginning:: 9/28/18 Open on:: 9/28/18 Product available as of 10/28/2025:: Yes Address: 130 Mall Circle Drive City: Monroeville State: Pennsylvania Zip Code: 15146 Phone number: 412-256-7045 Website: https://zenleafdispensaries.com/,"Medical marijuana available beginning:: 9/28/18, Open on:: 9/28/18, Product available as of 10/28/2025:: Yes, Address: 130 Mall Circle Drive, City: Monroeville, State: Pennsylvania, Zip Code: 15146, Phone number: 412-256-7045, Website: https://zenleafdispensaries.com/",412-256-7045,https://zenleafdispensaries.com/,9/28/18,9/28/18,Yes,130 Mall Circle Drive,Monroeville,Pennsylvania,15146,412-256-7045,https://zenleafdispensaries.com/
Restore Integrative Wellness Center - Elkins Park,,,Medical marijuana available beginning:: 10/2/18 Open on:: 10/2/18 Product available as of 10/28/2025:: Yes Address: 8003 Old York Road City: Elkins Park State: Pennsylvania Zip Code: 19027 Phone number: 215-709-2360 Website: https://restoreiwc.com/,"Medical marijuana available beginning:: 10/2/18, Open on:: 10/2/18, Product available as of 10/28/2025:: Yes, Address: 8003 Old York Road, City: Elkins Park, State: Pennsylvania, Zip Code: 19027, Phone number: 215-709-2360, Website: https://restoreiwc.com/",215-709-2360,https://restoreiwc.com/,10/2/18,10/2/18,Yes,8003 Old York Road,Elkins Park,Pennsylvania,19027,215-709-2360,https://restoreiwc.com/
Trulieve - Reading,,,Medical marijuana available beginning:: 10/4/18 Open on:: 10/4/18 Product available as of 10/28/2025:: Yes Address: 3225 N. 5th Street Highway City: Reading State: Pennsylvania Zip Code: 19605 Phone number: 484-513-3732 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 10/4/18, Open on:: 10/4/18, Product available as of 10/28/2025:: Yes, Address: 3225 N. 5th Street Highway, City: Reading, State: Pennsylvania, Zip Code: 19605, Phone number: 484-513-3732, Website: https://www.trulieve.com/",484-513-3732,https://www.trulieve.com/,10/4/18,10/4/18,Yes,3225 N. 5th Street Highway,Reading,Pennsylvania,19605,484-513-3732,https://www.trulieve.com/
Curaleaf - DuBois,,,Medical marijuana available beginning:: 10/15/18 Open on:: 10/15/18 Product available as of 10/28/2025:: Yes Address: 1222 South Brady Street City: DuBois State: Pennsylvania Zip Code: 15801 Phone number: 814-299-4120 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 10/15/18, Open on:: 10/15/18, Product available as of 10/28/2025:: Yes, Address: 1222 South Brady Street, City: DuBois, State: Pennsylvania, Zip Code: 15801, Phone number: 814-299-4120, Website: https://curaleaf.com/",814-299-4120,https://curaleaf.com/,10/15/18,10/15/18,Yes,1222 South Brady Street,DuBois,Pennsylvania,15801,814-299-4120,https://curaleaf.com/
Curaleaf - Philadelphia,,,Medical marijuana available beginning:: 11/2/18 Open on:: 11/2/18 Product available as of 10/28/2025:: Yes Address: 1125-1127 Passyunk Avenue City: Philadelphia State: Pennsylvania Zip Code: 19147 Phone number: 267-691-0565 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 11/2/18, Open on:: 11/2/18, Product available as of 10/28/2025:: Yes, Address: 1125-1127 Passyunk Avenue, City: Philadelphia, State: Pennsylvania, Zip Code: 19147, Phone number: 267-691-0565, Website: https://curaleaf.com/",267-691-0565,https://curaleaf.com/,11/2/18,11/2/18,Yes,1125-1127 Passyunk Avenue,Philadelphia,Pennsylvania,19147,267-691-0565,https://curaleaf.com/
Sunnyside - Philadelphia,,,Medical marijuana available beginning:: 11/2/18 Open on:: 11/2/18 Product available as of 10/28/2025:: Yes Address: 4502 City Avenue City: Philadelphia State: Pennsylvania Zip Code: 19131 Phone number: 215-876-2873 Website: https://www.sunnyside.shop/,"Medical marijuana available beginning:: 11/2/18, Open on:: 11/2/18, Product available as of 10/28/2025:: Yes, Address: 4502 City Avenue, City: Philadelphia, State: Pennsylvania, Zip Code: 19131, Phone number: 215-876-2873, Website: https://www.sunnyside.shop/",215-876-2873,https://www.sunnyside.shop/,11/2/18,11/2/18,Yes,4502 City Avenue,Philadelphia,Pennsylvania,19131,215-876-2873,https://www.sunnyside.shop/
Liberty - Bensalem,,,Medical marijuana available beginning:: 11/9/18 Open on:: 11/9/18 Product available as of 10/28/2025:: Yes Address: 4201 Neshaminy Blvd Unit 101 City: Bensalem State: Pennsylvania Zip Code: 19020 Phone number: 267-512-6103 Website: www.libertydispensarypa.com,"Medical marijuana available beginning:: 11/9/18, Open on:: 11/9/18, Product available as of 10/28/2025:: Yes, Address: 4201 Neshaminy Blvd Unit 101, City: Bensalem, State: Pennsylvania, Zip Code: 19020, Phone number: 267-512-6103, Website: www.libertydispensarypa.com",267-512-6103,,11/9/18,11/9/18,Yes,4201 Neshaminy Blvd Unit 101,Bensalem,Pennsylvania,19020,267-512-6103,www.libertydispensarypa.com
Curaleaf - Altoona,,,Medical marijuana available beginning:: 11/12/18 Open on:: 11/12/18 Product available as of 10/28/2025:: Yes Address: 514 E Pleasant Valley Blvd City: Altoona State: Pennsylvania Zip Code: 16602 Phone number: 814-626-9520 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 11/12/18, Open on:: 11/12/18, Product available as of 10/28/2025:: Yes, Address: 514 E Pleasant Valley Blvd, City: Altoona, State: Pennsylvania, Zip Code: 16602, Phone number: 814-626-9520, Website: https://curaleaf.com/",814-626-9520,https://curaleaf.com/,11/12/18,11/12/18,Yes,514 E Pleasant Valley Blvd,Altoona,Pennsylvania,16602,814-626-9520,https://curaleaf.com/
Trulieve - Zelienople,,,Medical marijuana available beginning:: 11/20/18 Open on:: 11/20/18 Product available as of 10/28/2025:: Yes Address: 22095 Perry Highway Suite 301 City: Zelienople State: Pennsylvania Zip Code: 16063 Phone number: 412-422-0420 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 11/20/18, Open on:: 11/20/18, Product available as of 10/28/2025:: Yes, Address: 22095 Perry Highway Suite 301, City: Zelienople, State: Pennsylvania, Zip Code: 16063, Phone number: 412-422-0420, Website: https://www.trulieve.com/",412-422-0420,https://www.trulieve.com/,11/20/18,11/20/18,Yes,22095 Perry Highway Suite 301,Zelienople,Pennsylvania,16063,412-422-0420,https://www.trulieve.com/
Columbia Care - Wilkes-Barre,,,Medical marijuana available beginning:: 12/3/18 Open on:: 12/3/18 Product available as of 10/28/2025:: Yes Address: 765 Kidder Street City: Wilkes-Barre State: Pennsylvania Zip Code: 18702 Phone number: 570-362-7020 Website: https://www.columbia.care/,"Medical marijuana available beginning:: 12/3/18, Open on:: 12/3/18, Product available as of 10/28/2025:: Yes, Address: 765 Kidder Street, City: Wilkes-Barre, State: Pennsylvania, Zip Code: 18702, Phone number: 570-362-7020, Website: https://www.columbia.care/",570-362-7020,https://www.columbia.care/,12/3/18,12/3/18,Yes,765 Kidder Street,Wilkes-Barre,Pennsylvania,18702,570-362-7020,https://www.columbia.care/
Columbia Care - Allentown,,,Medical marijuana available beginning:: 12/17/18 Open on:: 12/17/18 Product available as of 10/28/2025:: Yes Address: 3025 W Tilghman Street City: Allentown State: Pennsylvania Zip Code: 18104 Phone number: 484-838-7900 Website: https://www.columbia.care/,"Medical marijuana available beginning:: 12/17/18, Open on:: 12/17/18, Product available as of 10/28/2025:: Yes, Address: 3025 W Tilghman Street, City: Allentown, State: Pennsylvania, Zip Code: 18104, Phone number: 484-838-7900, Website: https://www.columbia.care/",484-838-7900,https://www.columbia.care/,12/17/18,12/17/18,Yes,3025 W Tilghman Street,Allentown,Pennsylvania,18104,484-838-7900,https://www.columbia.care/
Sunnyside - Greensburg,,,Medical marijuana available beginning:: 12/20/18 Open on:: 12/20/18 Product available as of 10/28/2025:: Yes Address: 305 East Pittsburgh Street City: Greensburg State: Pennsylvania Zip Code: 15601 Phone number: 724-600-4438 Website: https://www.sunnyside.shop/,"Medical marijuana available beginning:: 12/20/18, Open on:: 12/20/18, Product available as of 10/28/2025:: Yes, Address: 305 East Pittsburgh Street, City: Greensburg, State: Pennsylvania, Zip Code: 15601, Phone number: 724-600-4438, Website: https://www.sunnyside.shop/",724-600-4438,https://www.sunnyside.shop/,12/20/18,12/20/18,Yes,305 East Pittsburgh Street,Greensburg,Pennsylvania,15601,724-600-4438,https://www.sunnyside.shop/
Beyond Hello - Philadelphia,,,Medical marijuana available beginning:: 1/24/19 Open on:: 1/24/19 Product available as of 10/28/2025:: Yes Address: 1206 Sansom Street City: Philadelphia State: Pennsylvania Zip Code: 19107 Phone number: 267-804-7168 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 1/24/19, Open on:: 1/24/19, Product available as of 10/28/2025:: Yes, Address: 1206 Sansom Street, City: Philadelphia, State: Pennsylvania, Zip Code: 19107, Phone number: 267-804-7168, Website: www.beyond-hello.com",267-804-7168,,1/24/19,1/24/19,Yes,1206 Sansom Street,Philadelphia,Pennsylvania,19107,267-804-7168,www.beyond-hello.com
Maitri Medicinals - Pittsburgh,,,Medical marijuana available beginning:: 1/24/19 Open on:: 1/24/19 Product available as of 10/28/2025:: Yes Address: 5845 Centre Ave City: Pittsburgh State: Pennsylvania Zip Code: 15206 Phone number: 412-404-7464 Website: www.maitrimeds.com,"Medical marijuana available beginning:: 1/24/19, Open on:: 1/24/19, Product available as of 10/28/2025:: Yes, Address: 5845 Centre Ave, City: Pittsburgh, State: Pennsylvania, Zip Code: 15206, Phone number: 412-404-7464, Website: www.maitrimeds.com",412-404-7464,,1/24/19,1/24/19,Yes,5845 Centre Ave,Pittsburgh,Pennsylvania,15206,412-404-7464,www.maitrimeds.com
